Used by,Component id,Version id,Component name,Component version name,Channel versions,License ids,License names,License families,Match type,Producer match type,Usage,In use,Operational Risk,Component policy status,Overridden By,Created At,Origin name,Origin id,Review Status,Reviewed by,Reviewed at,Project path,Source/Type,Snippet Review status,File Match Count,License Risk,Component Status,Component Notes,Fulfillment Required,Version Notes,Critical Vulnerability Count,High Vulnerability Count,Medium Vulnerability Count,Low Vulnerability Count,Release Date,Newer Versions,Commit Activity,Commits in Past 12 Months,Contributors in Past 12 Months,Deep License Ids,Deep License Names,Deep License Families,Comments
,0eedc10f-59d5-4adf-bbd0-ea8a8f2059a1,75c1b3c9-df10-4bf0-9971-00fef8107040,bcrypt-pbkdf,1.0.2,1.0.2,3d238144-44e6-450e-b523-3defbdaed9dc,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,04.03.21,npmjs,bcrypt-pbkdf/1.0.2,NOT_REVIEWED,,,Providence 1.0.0.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,29.06.18,0,,,,,,,
,83d108ce-9ad8-4457-bb18-f7758edd1a33,5274f9e4-dbcb-476c-8419-1865c6016c83,better-assert,1.0.2,1.0.2,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,04.03.21,npmjs,better-assert/1.0.2,NOT_REVIEWED,,,Providence 1.0.0.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,21.11.14,0,STABLE,0,0,,,,
,458e4bcf-c40a-49e7-ada1-32b90ca39056,a247edf6-d170-418f-9129-f6a2d014eca6,big.js,3.2.0,3.2.0,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,04.03.21,npmjs,big.js/3.2.0,NOT_REVIEWED,,,Providence 1.0.0.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,14.09.17,17,INCREASING,16,6,,,,
,458e4bcf-c40a-49e7-ada1-32b90ca39056,b75c89b3-327d-43e4-b9d2-33ee8c82b5a4,big.js,5.2.2,5.2.2,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,04.03.21,npmjs,big.js/5.2.2,NOT_REVIEWED,,,Providence 1.0.0.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,18.10.18,4,INCREASING,16,6,,,,
,3fa2abd2-94f5-45c1-9af9-b50a539711bd,196f7ce8-fbe2-4fef-a34d-7372958994b5,binary-extensions,1.13.1,1.13.1,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,04.03.21,npmjs,binary-extensions/1.13.1,NOT_REVIEWED,,,Providence 1.0.0.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,27.03.19,3,DECREASING,5,4,,,,
,3fa2abd2-94f5-45c1-9af9-b50a539711bd,bbfcb1df-ff13-4182-9ee5-93c0194b0c05,binary-extensions,v1.12.0,1.12.0,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,04.03.21,npmjs,binary-extensions/1.12.0,NOT_REVIEWED,,,Providence 1.0.0.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,18.09.18,5,DECREASING,5,4,,,,
,3fa2abd2-94f5-45c1-9af9-b50a539711bd,3d9516dc-22bb-4934-9d19-5778fea200ce,binary-extensions,v2.1.0,2.1.0,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,04.03.21,npmjs,binary-extensions/2.1.0,NOT_REVIEWED,,,Providence 1.0.0.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,27.06.20,1,DECREASING,5,4,,,,
,542ebe32-2866-4830-abe7-bc75ab97a609,e5769821-b4b0-4573-a1c1-9a4e6a90b7e8,blob,0.0.4,0.0.4,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,MEDIUM,Not In Violation,,04.03.21,npmjs,blob/0.0.4,NOT_REVIEWED,,,Providence 1.0.0.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,13.04.14,2,,,,,,,
,542ebe32-2866-4830-abe7-bc75ab97a609,742a18ae-8ad2-4bef-8d07-b6b95f3cead5,blob,0.0.5,0.0.5,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,04.03.21,npmjs,blob/0.0.5,NOT_REVIEWED,,,Providence 1.0.0.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,31.10.18,1,,,,,,,
,1cfff644-fdf7-4cf9-9859-404460682a70,a61aed32-5d76-4bcb-8c44-18d20216aff2,block-stream,0.0.9,0.0.9,14b0b50b-acd2-4fc8-ac65-3b15f9e58260,ISC License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,04.03.21,npmjs,block-stream/0.0.9,NOT_REVIEWED,,,Providence 1.0.0.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,02.05.16,0,STABLE,0,0,,,,
,a592b3b6-5df7-4199-8723-68032290e297,83b1c3dd-3b5d-419f-917f-5f44ea79f558,bn.js,v4.11.9,4.11.9,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,04.03.21,npmjs,bn.js/4.11.9,NOT_REVIEWED,,,Providence 1.0.0.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,20.05.20,4,DECREASING,12,4,,,,
,a592b3b6-5df7-4199-8723-68032290e297,45b96dbd-d358-4f80-836a-e9ae1e52e455,bn.js,v5.1.3,5.1.3,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,04.03.21,npmjs,bn.js/5.1.3,NOT_REVIEWED,,,Providence 1.0.0.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,14.08.20,2,DECREASING,12,4,,,,
,1e02638b-1f8e-47a7-bb89-b05ba6e0bfc9,f4ba9d5f-b511-4cbc-a8e0-8e570d1f209d,body-parser,1.19.0,1.19.0,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,04.03.21,npmjs,body-parser/1.19.0,NOT_REVIEWED,,,Providence 1.0.0.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,26.04.19,0,DECREASING,7,1,,,,
